amount,asset_description,asset_type,comment,disclosure_date,owner,ptr_link,senator,ticker,transaction_date,type
"$50,001 - $100,000","Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $230.00 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,"This transaction is called buying to cover, which is a way to close out a short sale. Per this transaction, the Senator is divested of BABA securities",02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,BABA,01/14/2022,Purchase
"$15,001 - $50,000","QUALCOMM Incorporated - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $165.00 <br> <em>Expires:</em> 01/20/2023 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,QCOM,01/14/2022,Sale (Full)
"$1,001 - $15,000","Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 07/15/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CLF,01/14/2022,Sale (Full)
"$1,001 - $15,000","Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CLF,01/14/2022,Purchase
"$15,001 - $50,000","United States Steel Corporation Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,X,01/13/2022,Sale (Full)
"$15,001 - $50,000","Intel Corporation - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $55.00 <br> <em>Expires:</em> 01/20/2023 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,INTC,01/12/2022,Purchase
"$1,001 - $15,000","Walgreens Boots Alliance, Inc. - Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,WBA,01/12/2022,Purchase
"$1,001 - $15,000",Verizon Communications Inc. Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,VZ,01/12/2022,Purchase
"$1,001 - $15,000",3M Company Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,MMM,01/12/2022,Purchase
"$1,001 - $15,000","Pfizer, Inc. Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,PFE,01/12/2022,Purchase
"$1,001 - $15,000",International Business Machines Corporat,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,IBM,01/12/2022,Purchase
"$1,001 - $15,000",Intel Corporation - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,INTC,01/12/2022,Purchase
"$1,001 - $15,000",Coca-Cola Company (The) Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,KO,01/12/2022,Purchase
"$1,001 - $15,000","Cisco Systems, Inc. - Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CSCO,01/12/2022,Purchase
"$1,001 - $15,000",Chevron Corporation Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CVX,01/12/2022,Purchase
"$1,001 - $15,000",Dow Inc. Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,DOW,01/12/2022,Purchase
"$1,001 - $15,000",Amgen Inc. - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,AMGN,01/12/2022,Purchase
"$1,001 - $15,000","Intel Corporation - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $52.50 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,INTC,01/05/2022,Sale (Full)
"$1,001 - $15,000","Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $22.00 <br> <em>Expires:</em> 07/15/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CLF,01/04/2022,Sale (Full)
"$1,001 - $15,000","Stratasys, Ltd. - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,SSYS,01/03/2022,Sale (Full)
"$1,001 - $15,000","Stratasys, Ltd. - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,SSYS,01/03/2022,Sale (Full)
"$1,001 - $15,000","Stratasys, Ltd. - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,SSYS,01/03/2022,Sale (Full)
"$1,001 - $15,000","Stratasys, Ltd. - Common Stock <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,SSYS,01/03/2022,Sale (Full)
"$50,001 - $100,000","New York NY General Obligation Municipal Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5<br> <em>Matures:</em> 12/01/2041</div>",Municipal Security,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,--,01/21/2022,Sale (Full)
"$15,001 - $50,000",Duke Energy Corporation (Holding Company) Common S,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,DUK,01/21/2022,Sale (Full)
"$1,001 - $15,000",APR 22 CME CATTLE,Commodities/Futures Contract,--,02/14/2022,Self,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,--,01/26/2022,Purchase
"$1,001 - $15,000",Call NOV 22 CBT SOYBEANS,Commodities/Futures Contract,Expire 10/21/22,02/14/2022,Self,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,--,01/21/2022,Purchase
"$1,001 - $15,000",NOV 22 CBT SOYBEANS,Commodities/Futures Contract,--,02/14/2022,Self,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,--,01/21/2022,Purchase
"$1,001 - $15,000",DEC 22 CBT CORN,Commodities/Futures Contract,--,02/14/2022,Self,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,--,01/05/2022,Purchase
"$15,001 - $50,000",Medtronic plc. Ordinary Shares,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,MDT,01/21/2022,Sale (Full)
"$1,001 - $15,000",AbbVie Inc. Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,ABBV,01/21/2022,Sale (Full)
"$15,001 - $50,000",AmerisourceBergen Corporation Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,ABC,01/21/2022,Sale (Full)
"$15,001 - $50,000",Cintas Corporation - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CTAS,01/21/2022,Sale (Full)
"$15,001 - $50,000",Lockheed Martin Corporation Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,LMT,01/21/2022,Sale (Full)
"$1,001 - $15,000","PepsiCo, Inc. - Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,PEP,01/21/2022,Sale (Full)
"$15,001 - $50,000",Philip Morris International Inc Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,PM,01/21/2022,Sale (Full)
"$15,001 - $50,000",Pimco Income Fund Class C,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,PONCX,01/21/2022,Sale (Full)
"$15,001 - $50,000",Procter &amp; Gamble Company (The) Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,PG,01/21/2022,Sale (Full)
"$15,001 - $50,000","Tyson Foods, Inc. Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,TSN,01/21/2022,Sale (Full)
"$15,001 - $50,000",Xcel Energy Inc. - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,XEL,01/21/2022,Sale (Full)
"$15,001 - $50,000",Ab Bond Fund Inc. - Ab Total Return Bond Portfo,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,ABQCX,01/13/2022,Sale (Full)
"$15,001 - $50,000","Cedar Fair, L.P. Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,FUN,01/13/2022,Sale (Full)
"$15,001 - $50,000","CrowdStrike Holdings, Inc. - Class A Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CRWD,01/13/2022,Sale (Full)
"$15,001 - $50,000",Federated Mdt Mid Cap Growth Fund - C Shares,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,FGSCX,01/13/2022,Sale (Full)
"$1,001 - $15,000","Gilead Sciences, Inc. - Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,GILD,01/13/2022,Sale (Full)
"$15,001 - $50,000",Global X Cloud Computing ETF,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CLOU,01/13/2022,Sale (Full)
"$15,001 - $50,000",Newell Brands Inc. - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,NWL,01/13/2022,Sale (Full)
"$15,001 - $50,000",Pegasystems Inc. - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,PEGA,01/13/2022,Sale (Full)
"$1,001 - $15,000",Viatris Inc. - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,VTRS,01/13/2022,Sale (Full)
"$15,001 - $50,000",Accenture plc Class A Ordinary Shares (Ireland),Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,ACN,01/14/2022,Sale (Full)
"$15,001 - $50,000",Adobe Inc. - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,ADBE,01/14/2022,Sale (Full)
"$15,001 - $50,000","American Water Works Company, Inc. Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,AWK,01/14/2022,Sale (Full)
"$15,001 - $50,000",Apple Inc. - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,AAPL,01/14/2022,Sale (Full)
"$15,001 - $50,000",Cintas Corporation - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,CTAS,01/14/2022,Sale (Full)
"$15,001 - $50,000",Eli Lilly and Company Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,LLY,01/14/2022,Sale (Full)
"$1,001 - $15,000",Mastercard Incorporated Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,MA,01/14/2022,Sale (Full)
"$15,001 - $50,000",Microsoft Corporation - Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,MSFT,01/14/2022,Sale (Full)
"$15,001 - $50,000","NextEra Energy, Inc. Common Stock",Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,NEE,01/14/2022,Sale (Full)
"$1,001 - $15,000",Raytheon Technologies Corporation Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,RTX,01/14/2022,Sale (Full)
"$1,001 - $15,000",Walmart Inc. Common Stock,Stock,--,02/14/2022,Joint,https://efdsearch.senate.gov/search/view/ptr/c9da6bea-fa14-4a3a-9d8b-1745e834da59/,Thomas H Tuberville,WMT,01/14/2022,Sale (Full)
"$1,001 - $15,000",Lord Abbett Ultra Short Bond Fund - Class F,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,LUBFX,01/31/2022,Sale (Partial)
"$1,001 - $15,000",Goldman Sachs Emerging Markets Equity Fund Insti,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,GEMIX,01/31/2022,Sale (Full)
"$1,001 - $15,000",Sprott Physical Gold &amp; Silver Trust,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,CEF,01/31/2022,Sale (Full)
"$1,001 - $15,000",SPDR S&amp;P Aerospace &amp; Defense ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,XAR,01/31/2022,Sale (Full)
"$1,001 - $15,000",Pacer Trendpilot US Mid Cap ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,PTMC,01/31/2022,Sale (Full)
"$1,001 - $15,000",Fidelity Advisor Emerging Markets Fund,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,FIMKX,01/31/2022,Sale (Partial)
"$1,001 - $15,000",John Hancock Multifactor Mid Cap ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,JHMM,01/31/2022,Purchase
"$1,001 - $15,000",Western Asset Inflation-Linked Opportunities &amp; Inc,Stock,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,WIW,01/31/2022,Purchase
"$1,001 - $15,000",NVIDIA Corporation - Common Stock,Stock,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,NVDA,01/31/2022,Purchase
"$1,001 - $15,000",SPDR S&amp;P Global Natural Resources ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,GNR,01/31/2022,Purchase
"$1,001 - $15,000",iShares U.S. Aerospace &amp; Defense ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,ITA,01/31/2022,Purchase
"$1,001 - $15,000",Vaneck Agribusiness ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,MOO,01/31/2022,Purchase
"$1,001 - $15,000",Silvergate Capital Corporation Class A Common Stoc,Stock,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,SI,01/31/2022,Purchase
"$1,001 - $15,000",Fidelity Advisor Emerging Markets Fund,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,FIMKX,01/26/2022,Purchase
"$1,001 - $15,000",John Hancock Multifactor Mid Cap ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,JHMM,01/26/2022,Purchase
"$1,001 - $15,000",Western Asset Inflation-Linked Opportunities &amp; Inc,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,WIW,01/26/2022,Purchase
"$1,001 - $15,000",S&amp;P Regional Banking ETF SPDR,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,KRE,01/26/2022,Purchase
"$1,001 - $15,000",Pacer Benchmark &amp; Infrastructure Real Estate ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,SRVR,01/26/2022,Purchase
"$1,001 - $15,000",iShares U.S. Aerospace &amp; Defense ETF,Other Securities,--,02/03/2022,Spouse,https://efdsearch.senate.gov/search/view/ptr/a6c73206-244d-439c-8887-e977b545b901/,Thomas R Carper,ITA,01/26/2022,Purchase
